,Unnamed: 0,chip_id,chip_x,chip_y,tile,valid_first,valid_second,valid_third,bad_pct_first,bad_pct_second,bad_pct_third,first_image_date,second_image_date,third_image_date,bad_pct_max,na_count,CDL_count,first_cdl_mask,second_cdl_mask,third_cdl_mask
0,0,000_000,-99.14511353369583,36.77595515134706,14SMF,48675.0,43305.0,44125.0,0.1554528061224489,0.3886320153061225,0.9626116071428572,2021087.0,2021212.0,2021272.0,0.9626116071428572,0.0,2846.0,chip_064_068,chip_030_025,chip_070_054
1,1,000_001,-99.14260089333696,36.716006846713775,14SMF,49783.0,42527.0,47381.0,0.039859693877551,0.3985969387755102,0.1534598214285714,2021087.0,2021212.0,2021272.0,0.3985969387755102,0.0,13700.0,chip_046_061,chip_018_025,chip_010_021
2,2,000_002,-99.14009226302473,36.656056588141006,14SMF,49379.0,43430.0,46503.0,0.0817123724489796,0.3866390306122449,0.2232142857142857,2021087.0,2021212.0,2021272.0,0.3866390306122449,0.0,10558.0,chip_037_031,chip_010_054,chip_048_017
3,3,000_003,-99.13758763317036,36.59610431381908,14SMF,49863.0,43417.0,46685.0,0.0518176020408163,0.3427933673469388,0.3308354591836734,2021087.0,2021212.0,2021272.0,0.3427933673469388,0.0,14790.0,chip_069_070,chip_045_060,chip_025_079
4,4,000_004,-99.135086994216,36.53614996207055,14SMF,49608.0,41148.0,48855.0,0.3527582908163265,0.4583864795918368,0.2272002551020408,2021087.0,2021212.0,2021272.0,0.4583864795918368,0.0,4313.0,chip_013_072,chip_015_066,chip_024_015
5,5,000_005,-99.13259033663392,36.476193471348665,14SMF,49714.0,40706.0,48933.0,0.3706951530612245,0.4922672193877551,0.8031728316326531,2021087.0,2021212.0,2021272.0,0.8031728316326531,0.0,4075.0,chip_002_057,chip_016_001,chip_049_036
6,6,000_006,-99.13009765092669,36.41623478023661,14SMF,49272.0,44289.0,48629.0,1.052295918367347,0.2969547193877551,0.1116071428571428,2021087.0,2021212.0,2021272.0,1.052295918367347,0.0,6141.0,chip_019_044,chip_024_041,chip_056_006
7,7,000_007,-99.12760892762718,36.356273827446216,14SMF,47910.0,46241.0,49165.0,2.9017857142857144,0.2092633928571428,0.1315369897959183,2021087.0,2021212.0,2021272.0,2.9017857142857144,0.0,7178.0,chip_026_037,chip_037_032,chip_064_033
8,8,000_008,-99.12512415729825,36.296310551816944,14SMF,47745.0,45916.0,45718.0,0.8330676020408163,0.2052774234693877,0.7254464285714286,2021087.0,2021212.0,2021272.0,0.8330676020408163,0.0,2182.0,chip_008_037,chip_018_013,chip_011_028
9,9,000_009,-99.12264333053268,36.236344892314975,14SMF,46142.0,45616.0,46324.0,1.803651147959184,0.2032844387755102,0.1953125,2021087.0,2021212.0,2021272.0,1.803651147959184,0.0,32075.0,chip_064_030,chip_026_028,chip_017_015
10,10,000_010,-99.12016643795307,36.17637678803165,14SMF,49174.0,44757.0,45255.0,0.87890625,0.2989477040816326,0.4743303571428572,2021087.0,2021212.0,2021272.0,0.87890625,0.0,14780.0,chip_066_026,chip_073_023,chip_072_011
11,11,000_011,-99.1176934702118,36.11640617818309,14SMF,49139.0,44215.0,44545.0,0.8729272959183674,0.3009406887755102,0.3447863520408163,2021087.0,2021212.0,2021272.0,0.8729272959183674,0.0,6272.0,chip_067_004,chip_012_043,chip_044_059
12,12,000_012,-99.11522441799066,36.0564330021085,14SME,49859.0,44203.0,42057.0,0.0478316326530612,0.3408003826530612,0.4544005102040816,2021167.0,2021212.0,2021257.0,0.4544005102040816,0.0,4965.0,chip_031_075,chip_022_035,chip_040_032
13,13,000_013,-99.11275927200104,35.99645719926943,14SME,48798.0,42153.0,42063.0,0.0896843112244897,0.4823022959183674,0.4703443877551021,2021167.0,2021212.0,2021257.0,0.4823022959183674,0.0,337.0,chip_045_064,chip_013_057,chip_075_010
